"sum.water","sum.lulc.eth_esaccilc_dst011","sum.lulc.eth_esaccilc_dst040","sum.lulc.eth_esaccilc_dst130","sum.lulc.eth_esaccilc_dst140","sum.lulc.eth_esaccilc_dst150","sum.lulc.eth_esaccilc_dst160","sum.lulc.eth_esaccilc_dst190","sum.lulc.eth_esaccilc_dst200","sum.topo","sum.slope","sum.ntl","sum.pop19","mean.water","mean.lulc.eth_esaccilc_dst011","mean.lulc.eth_esaccilc_dst040","mean.lulc.eth_esaccilc_dst130","mean.lulc.eth_esaccilc_dst140","mean.lulc.eth_esaccilc_dst150","mean.lulc.eth_esaccilc_dst160","mean.lulc.eth_esaccilc_dst190","mean.lulc.eth_esaccilc_dst200","mean.topo","mean.slope","mean.ntl","mean.pop19"
8675.0966796875,835.784362792969,2341.64624023438,2001.43896484375,2911.62182617188,145022.375,9152.591796875,-738.155944824219,26640.51953125,2130802.5,3003.818359375,12599.326171875,316095.625,9.98180103302002,0.961676120758057,2.69436168670654,2.30290985107422,3.35019087791443,166.866668701172,10.5312204360962,-0.849342226982117,30.6533031463623,2451.75903320312,3.45627474784851,14.4971256256104,363.708190917969
124739.703125,-24406.716796875,63974.82421875,51276.0078125,120321.4921875,2291820.25,133259.0625,26503.3984375,488509.5625,32588906,39841.078125,50539.01953125,231490.59375,8.27119636535645,-1.61835205554962,4.24202013015747,3.39999175071716,7.97823572158813,151.965225219727,8.83609580993652,1.75737810134888,32.3919219970703,2160.89379882812,2.64176821708679,3.35112357139587,15.3495979309082
14066.9990234375,1302.212890625,3648.76049804688,1435.30773925781,5972.275390625,182043.78125,14672.455078125,-784.9384765625,36130.87890625,2669399,4365.5390625,16728.158203125,259422.796875,12.9079580307007,1.19491791725159,3.34812331199646,1.31704652309418,5.48019361495972,167.044403076172,13.4635286331177,-0.72026401758194,33.1539001464844,2449.45581054688,4.00584363937378,15.349853515625,238.047836303711
213586.828125,-12006.3486328125,86920.2578125,60842.125,104621.546875,2429686.25,279754.25,13898.421875,582301.9375,34819548,52407.8671875,116843.2734375,400039.75,14.0967473983765,-0.792419970035553,5.73674392700195,4.01558494567871,6.90503025054932,160.359481811523,18.4638023376465,0.917296946048737,38.4319725036621,2298.09301757812,3.45892333984375,7.71166515350342,26.4026546478271
43321.73046875,2661.0810546875,2146.859375,2370.02709960938,19889.18359375,638703.0625,45350.01953125,1425.2998046875,131051,10109494,30134.67578125,18777.65234375,338504.25,11.5364942550659,0.708640813827515,0.571704566478729,0.631133735179901,5.29645156860352,170.085403442383,12.076623916626,0.379554629325867,34.8986320495605,2692.13891601562,8.02480697631836,5.00045299530029,90.1430358886719
25069.54296875,3513.52514648438,7000.27978515625,2418.712890625,5852.55029296875,278885.59375,26055.419921875,-1964.15417480469,53573.796875,3983583.75,4086.65576171875,44235.66015625,275345.125,14.6702241897583,2.05604863166809,4.09643173217773,1.41538512706757,3.42480206489563,163.198593139648,15.2471408843994,-1.14938592910767,31.3503761291504,2331.1181640625,2.39143395423889,25.8858737945557,161.126770019531
66335.140625,804.377014160156,9734.0830078125,8453.5810546875,39452.1875,1278978.125,69451.421875,1055.3583984375,200198.078125,19039668,42722.9609375,55368.5703125,556959.625,8.51367568969727,0.103236451745033,1.24930500984192,1.08496105670929,5.06342649459839,164.148361206055,8.91362953186035,0.13544824719429,25.6940956115723,2443.61499023438,5.48320865631104,7.10618877410889,71.4820709228516
14839.12890625,1077.97680664062,3757.74536132812,1561.47717285156,6669.474609375,213427.640625,15513.8291015625,-794.4111328125,38128.98828125,3058729.25,4285.42431640625,23756.572265625,257024.671875,11.4226894378662,0.829792261123657,2.8925929069519,1.20197546482086,5.13394927978516,164.289810180664,11.9420518875122,-0.611512422561646,29.3504810333252,2354.51245117188,3.29878330230713,18.2870540618896,197.849411010742
77778.1328125,88.7646026611328,29539.177734375,14246.447265625,47691.41015625,1088975.375,91087.8203125,749.628112792969,179803.328125,15521969,25790.150390625,59531.296875,409166,11.2626171112061,0.0128535069525242,4.27740335464478,2.06294846534729,6.90592670440674,157.688446044922,13.1899185180664,0.1085494607687,26.0363159179688,2247.64965820312,3.73452758789062,8.62039470672607,59.2490425109863
143068.625,1569.80065917969,8787.5283203125,7779.1376953125,93024.7734375,1673436.5,215282.25,4826.70068359375,416349.28125,26201604,71111.296875,50059.76953125,453292.8125,13.9718027114868,0.153303667902946,0.858172833919525,0.759695410728455,9.08461761474609,163.424545288086,21.0240440368652,0.471366167068481,40.6598587036133,2558.79760742188,6.94459056854248,4.88873958587646,44.267692565918
